. (فا. مِنْ هَجَسَ)	هَاجِسٌ-هَاجِسٌ 	
(فَا مِن اِبْتَسَمَ)	مُبْتَسِمٌ-مُبْتَسِمٌ، ةٌ 	
(فا من بَهَرَ)	باهِرٌ-باهِرٌ، ةٌ 	
(فا من حَمَّرَ)	مُحَمَّرٌ-مُحَمَّرٌ، ةٌ 	
(فا مِن شَجَا)	شَاجِي-شَاجِي، شَاجٍ، ةٌ 	
(فا مِنَ شَرَقَ)	شارِقٌ-شارِقٌ، ةٌ 	
(فَا مِنْ ضَارَعَ)	مُضَارِعٌ-مُضَارِعٌ، ة 	
(فا مِنْ نَادَى)	نَادِي-نَادِي، نَادٍ 	
(فا مِنْ نَحَا)	نَاحِي-نَاحِي، نَاحٍ، ةٌ 	
(فا، من ثَنَى)	ثَانِي-ثَانِي، ثَانٍ، ةٌ 	
(فَا. مفع. مِن اِعْتَادَ)	مُعْتَادٌ-مُعْتَادٌ، ةٌ 	
(فَا. مفع. من اِمْتَدَّ)	مُمْتَدٌّ-مُمْتَدٌّ، ةٌ 	
(فَا. مفع. من اِمْتَصَّ)	مُمْتَصٌّ-مُمْتَصٌّ، ةٌ 	
(فا. من آرَبَ)	مُؤَارِبٌ-مُؤَارِبٌ، ةٌ 	
(فَا. مِنْ آسَفَ)	مُؤْسِفٌ-مُؤْسِفٌ، ةٌ 	
(فا. من آلَمَ)	مُؤْلِمٌ-مُؤْلِمٌ، ةٌ 	
(فا. من آمَنَ)	مُؤْمِنٌ-مُؤْمِنٌ، ةٌ 	
(فا. من آنَسَ)	مُؤْنِسٌ-مُؤْنِسٌ، ةٌ 	
(فا. من أبرأ)	مُبْرِئٌ-مُبْرِئٌ، ة	
(فا. من أَبْرَقَ)	مُبْرِقٌ-مُبْرِقٌ، ة	
(فَا. مِنْ أبرم)	مُبْرِمٌ-مُبْرِمٌ، ة	
(فَا. مِنْ أَبْصَرَ)	مُبْصِرٌ-مُبْصِرٌ، ةٌ 	
(فا. من أَبْطَلَ)	مُبْطِلٌ-مُبْطِلٌ، ةٌ 	
(فَا. مِنْ أَبْغَضَ)	مُبْغِضٌ-مُبْغِضٌ، ة 	
(فَا. مِنْ أَبْهَجَ)	مُبْهِجٌ-مُبْهِجٌ، ة	
(فَا. مِنْ أَبْهَرَ)	مُبْهِرٌ-مُبْهِرٌ، ةٌ 	
(فا. من أَتْعَبَ)	مُتْعِبٌ-مُتْعِبٌ، ةٌ 	
(فَا. مِنْ أَتْقَنَ)	مُتْقِنٌ-مُتْقِنٌ، ةٌ 	
(فَا. مِنْ أَتْلَفَ)	مُتْلِفٌ-مُتْلِفٌ، ةٌ 	
(فَا. من أَتَى)	آتِي-آتِي، آتٍ، ةٌ 	
(فَا. مِنْ أَثَارَ)	مُثِيرٌ-مُثِيرٌ 	
